Channel Islands cuisine
English cuisine
Cornish cuisine
Devonian cuisine
Dorset cuisine
Northern Irish cuisine
Scottish cuisine
Welsh cuisine
Irish cuisine
Nordic cuisines
Danish cuisine
Faroese cuisine
New Nordic cuisine
Finnish cuisine
Icelandic cuisine
Norwegian cuisine
Sami cuisine
Swedish cuisine
Cypriot cuisine
Balkan cuisine
Albanian cuisine
Aromanian cuisine
Bosnian cuisine
Croatian cuisine
Greek cuisine
Macedonian cuisine (Greek)
Cretan cuisine
Cuisine of the Ionian Islands
Epirotic cuisine
Kosovan cuisine
Macedonian cuisine
Montenegrin cuisine
Serbian cuisine
Gibraltarian cuisine
Italian cuisine
Abruzzese and Molisan cuisine
Arbëreshë cuisine
Basilicatan (Lucanian) cuisine
Lazian or Roman
Ligurian cuisine
Lombard cuisine
Mantuan cuisine
Neapolitan cuisine
Pugliese cuisine
Sardinian cuisine
Sicilian cuisine
Tuscan cuisine
Venetian cuisine
Maltese cuisine
Portuguese cuisine
Sammarinese cuisine
Spanish cuisine
Andalusian cuisine
Asturian cuisine
Aragonese cuisine
Balearic cuisine
Basque cuisine
Canarian cuisine
Cantabrian cuisine
Castilian-Leonese cuisine
Castilian-Manchego cuisine
Catalan cuisine
Andorran cuisine
Extremaduran cuisine
Galician cuisine
Leonese cuisine
Madrid cuisine
Minorcan cuisine
Valencian cuisine
Turkish cuisine
Belgian cuisine
Dutch cuisine
French cuisine
Basque cuisine
Corsican cuisine
Haute cuisine
Lyonnaise cuisine
Nouvelle cuisine
Frisian cuisine
Limburgian cuisine
Luxembourgian cuisine
Monégasque cuisine
Occitan cuisine
"Poi, a staple Polynesian food"
Australasian cuisine
Australian cuisine
Tasmanian cuisine
Christmas Island cuisine
New Zealand cuisine
Melanesian cuisine
Fijian cuisine
Papua New Guinean cuisine
Solomon Islands cuisine
Vanuatuan cuisine
Micronesian cuisine
Guamanian cuisine
Mariana Islands cuisine
Marshallese cuisine
Nauruan cuisine
Palauan cuisine
Polynesian cuisine
Hawaiian cuisine
Niuean cuisine
Pascuense (Easter Island) cuisine
Pitcairn Islands cuisine
Samoan cuisine
Tongan cuisine
Tuvaluan cuisine
Wallis and Futuna cuisine
